Id,質問,Answer
18331,こんにちは,こんにちは！何か質問はございますか？
18332,ありがとう,"どういたしまして。
またのご利用をお待ちしています！"
18333,ありがとうございました,"どういたしまして。
またのご利用をお待ちしています！"
18334,さようなら,さようなら。また質問があったらご質問くださいね。
18335,こんばんは,こんばんは！何か質問はございますか？
18336,こんばんわ,こんばんは！
18337,おはようございます,おはようございます！
18338,おはよう,おはようございます！何か質問はございますか？
18339,お疲れ様です,お疲れ様です！
18340,またね,またお困りの時はいつでも質問してくださいね
18341,お世話になります,こちらこそ、お世話になっております！
18342,お世話になりました,ご利用有難うございました！
18343,質問があります,"下記のテキストボックスに入力して下さい。
お答えします。"
18344,おやすみなさい,おやすみなさい
18345,はじめまして,はじめまして！ご利用いただき有難うございます。
18346,あけましておめでとう,"明けましておめでとうございます。
本年も宜しくお願い致します。"
18347,メリークリスマス,メリークリスマス！
18348,サンキュー,"どういたしまして！
またのご利用をお待ちしています！"
18349,サンキュウ,"どういたしまして！
またのご利用をお待ちしています！"
18350,ごきげんよう,ごきげんよう！
18351,バイバイ,"Bye-Bye！
また利用して下さいね"
18354,こんにちわ,こんにちは！何か質問はございますか
18575,国内出張で天候の影響で新幹線が遅延し、一部払い戻しをされた。その場合の精算方法は？,国内出張で天候不良等による新幹線の遅延払い戻しの精算については、通常金額から払い戻しされた金額を差し引いた分を実費精算下さい。
18576,国内出張で、JR特急券はどうやって精算したら良いですか？,国内出張のJR特急券の精算方法については、通常の乗車券+特急券で交通費として申請し、台紙に特急券を添付下さい。
18577,宿泊を伴う国内出張の日当はいくらになりますか？,宿泊を伴う国内出張の場合の日当は一律2600円です。
18578,出向中ですが国内出張旅費の精算はどのようにしたら良いですか？,"出向者の国内出張旅費精算については、出向先負担の場合、出向先での申請を行って下さい。TTCでの申請は不要です。
TTC負担の場合には、TWINSの旅費精算もしくは帰属部署の方に立替精算依頼書を作成頂き申請下さい。"
18579,"急な辞令で異動となったが、社宅の手配が間に合わず月中での移動となった。
それまでは実家からの通勤になるのだが通勤費はどうしたら良いですか？","急な人事異動に伴い、社宅手配が間に合わない場合の通勤費については、毎月10日までに通勤費の申請をあげていただくのですが、実家からもしくは社宅からのどちらかをご自身で選択し、ご都合の良い方でご申請下さい。申請頂いたルートで1ヶ月分の通勤費を支給します。
なお、日割り計算は行っておりません。"
18580,急な辞令で異動となったが、社宅の手配が間に合わず引越しの為に複数回往復する事になった。その場合の交通費は赴任旅費ですか？,"急な人事異動に伴い、社宅手配が間に合わない場合に複数回往復するときの赴任旅費は、片道1回分のみの精算となります。
それ以上に掛かった交通費については、上長承認を得た上で、国内旅費としてSAPの立替金精算依頼書を作成し、精算して下さい。"
18581,国内での宿泊費が規定より安いのですが申請はどうしたら良いですか？,国内出張に伴う宿泊費の精算については、規定の金額で申請し、実際の領収書を台紙に添付下さい。
18582,休日に出張した際、日当は出ますか？,"休日に国内出張した場合の日当については、休日であっても出張に行かれている期間は日当（2,600円）支給となります。"
18583,国内出張の間に休日がある場合、働いていなくても日当は出ますか？,国内出張期間中に休日がある場合は、出発日から帰着日までの間に含まれる休日は日当支給対象です。
18584,国内出張でコンサルタントの交通費を負担する場合は通常の勘定科目で良いですか？,国内出張でのコンサルタントの交通費については、勘定科目を9231支払手数料で計上し、TOSへご提出下さい。
18585,"出向解除となったが、出張として1ヶ月延長して出向先に勤務することになった。
この場合の交通費（通勤費）はどう精算したら良いですか？",出向解除後も引き続き出張として１ヶ月延長して出向先に勤務する場合の交通費（通勤費）は、出向中と同じままで、出張が終わり次第、拠点に応じて通勤費申告で変更して下さい。但し、出張での勤務になるので日当のみTWINSで精算して下さい。
18586,赴任旅費精算したいのですが、赴任旅費精算書と領収書を提出すれば良いですか？,"赴任旅費を精算する場合は、赴任旅費精算書に領収書を添付し、SAP立替金精算依頼書とセットでご提出下さい。
立替金精算依頼書の作成方法については赴任旅費精算書右上をご覧ください。"
18587,有料道路の領収書を紛失してしまいました。その場合精算はどうしたら良いですか？,国内出張で有料道路の領収書を紛失した場合は、領収書台紙の空白に紛失した旨と金額（出発地〜到着地）を記載し、上長印を貰って下さい。上長承認されたということであれば申請金額で精算致します。
18588,"国内出張で、1枚の領収書を２つの部署でそれぞれ60％40％で精算したいのですが、
この場合どう申請したら良いですか？","国内出張で、1枚の領収書を2つの部署で分けて負担する精算方法は、SAP立替金精算依頼書を費用負担部署毎に作成し、領収書を添付しご提出下さい。
（60％分の立替精算依頼書1枚、40％分の立替精算依頼書1枚　計2枚と100％の領収書をセットでホチキス留めしてください）"
18589,国内出張で、留守宅に宿泊した場合は宿泊費が出ないとありますが、留守宅とは何ですか？,"国内出張で、以下のような留守宅に宿泊した場合には、宿泊費は支給されませんのでご注意ください。
留守宅＝現在社員本人は住んでいない（本人は単身赴任で別に住んでいて家族だけが住んでいるor誰も住んでいない）家のことです。※実家とは異なります。"
18590,国内出張時の航空券取り消し料で非課税があるのですが、勘定科目は何になりますか？,国内出張の航空券取り消し料の勘定科目は、A9167　旅費交通費　雑口（非課税）で計上下さい。
18591,国内出張時、移動開始〜労働終了までに11時間以上ある場合の日当はどうなりますか？,"宿泊を伴う国内出張の場合の日当は一律2600円、日帰りの場合は4,000円です。"
18592,国内出張時の航空券購入の勘定科目は何になりますか？,国内出張時の国内航空券の勘定科目は、9162国内出張旅費で計上して下さい。
18593,コーポレートカードを持っていない為、金券ショップにて新幹線の回数券を購入しました。どのように精算申請したら良いですか？,"コーポレートカードを持っていない為、金券ショップで購入した新幹線回数券の精算方法は、以下の通りです。

往復1回分の回数券を購入した場合
⇒TWINS国内出張旅費精算で申請し、領収書台紙に領収書を添付してご提出下さい。

まとめて複数回分購入した場合
⇒SAP立替金精算依頼書を作成し、領収書を添付してご提出下さい。"
18594,海外出張から深夜便で帰国した際、国内出張の日当も付きますか？,海外出張から深夜便で帰国した際の国内出張の日当については、海外出張での日当が支給されるため、国内出張の日当は付きません。日当の重複はNGです。
18595,レンタカーを使用した際に個人のETCカードを利用した。領収書がないのですがどうしたら良いですか？,レンタカーを使用した際に個人のETCカードを利用したが領収書がないときは、レンタカーの車両情報が分かる場合は、ETC利用照会サービスから利用明細を発行頂き、車両情報が分からなけれな、カードの利用明細を添付して下さい。
18596,国内出張精算で発着時間も記入することになったの？,2017年度より国内出張精算方法が変わり、全ての発着時間も記入することになりました。
18597,既に承認された国内出張旅費精算について、誤りがあったので差し戻しをお願いしたい,最終承認処理が完了していると差し戻しができないため、次回申請時にご精算下さい。なお、次回申請まで間があく場合はTHR各拠店担当へご連絡願います。
18598,国内出張精算で、まだ承認されていない申請書を変更したい,国内出張精算で、まだ承認されていない申請書を変更したい場合には、差し戻ししますのでTHR国内出張旅費担当へ連絡のうえ、変更いただき再申請して下さい。
18599,国内出張旅費の過去の提出領収書台紙を確認したいので返却してほしい,国内出張旅費の過去の領収書台紙が必要な方は、ＴＨＲに直接取りにきてください。なお、2ヵ月以上前の領収書台紙は保存箱を倉庫から取り寄せとなりますので、少々お時間を頂きます。
18600,国内出張（航空券+宿泊付）のパックツアーを手配し出張を終えました。明細がないため往復の交通費をどの様に請求したらよいでしょうか？　　　　,国内出張（航空券+宿泊付）のパックツアーを利用した場合の交通費の精算については、通常の航空券+資格等級の宿泊代上限＞ﾊﾟｯｸﾂｱｰ代金の場合は、ﾊﾟｯｸﾂｱｰ代金で精算して下さい
18601,国内出張でお客様と同行して規程の上限を超えた宿泊代となったが、精算できるの？,国内出張でお客様と同行して規程の上限を超えた宿泊代については、上長の承認があれば精算対象として認めます。
18602,1泊2日でパワーアップミーティング（PUM）した場合の精算方法は？,"国内出張でパワーアップミーティング（PUM）の場合「日当」は付きません。
日当無しで交通費のみ精算してください。
その際備考欄に「PUM」と明記願います。"
18603,国内出張するが、ホテルの割引一覧表はどこにあるの？,"国内ホテル一覧表は、とよつう人事Navi⇒福利厚生ライブラリー→052.宿泊（その他）にてご確認下さい。
https://twins.toyotsu.co.jp/ap0091/sdb79.nsf"
18604,国内出張の負担部署の内訳を教えてほしい,国内出張旅費の負担部署の内訳を確認したい場合は、ＴＨＲ各拠店担当へご依頼下さい。エクセルデータでお送りします。
18605,コーポレートカードのEX（エクスプレスカード）について知りたい,"コーポレートカードのEX（エクスプレスカード）については、次のTTCライブラリーをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/G007479?OpenDocument"
18606,国内出張精算で宿泊のみの場合、発着時間はどう入力するの？,国内出張精算で宿泊のみの場合でも、発着時間の入力は必須です。就業時間（9：00〜17：45）を入力して下さい。
18607,国内出張精算申請で上長を変更したい。,国内出張精算申請の「承認者」を変更する必要がある場合は、その旨「Sから始まる申請書番号と社員番号」と併せて、THR各拠店担当へ連絡して下さい。
18608,国内出張時にタクシーの領収書を紛失した場合の精算方法は？,国内出張時のタクシーの領収書を紛失した場合には、「理由書」を作成のうえ、上長の承認をいただき、「領収書台紙」に添付し提出下さい。
18609,成田エクスプレスの領収書をなくしてしまったがどうしたらいいでしょか？,海外出張の際に成田エクスプレスを利用したが、その領収書を紛失してしまった場合には、異常発生理由書を添付してSAP立替金精算にて処理してください。
18610,名古屋に宿泊をともなう研修に参加したが、その際の日当は支給されるか,国内で宿泊をともなう研修に参加した場合、会社主催の研修であれば日当は支給しないが、片道100Km以上の場所での外部主催の研修であれば日当は支給されます。
18611,環境省へ領収書原本を提出する必要があるため、提出済みの領収書を返却してほしい,国内出張精算で、領収書原本の返却をご希望の方は、倉庫から取り寄せますので、出張番号をTHR担当者へ連絡して下さい。入手次第あらためて連絡しますのでお待ち下さい。なおTHR保管がコピーとなる依頼書を作成下さい。
18612,過去の国内出張旅費精算書（電子申請）が見たい。,過去の国内出張旅費精算書（電子申請）が見たい場合は、社員番号と精算�をTHR各拠店担当までご連絡下さい。
18613,国内出張について、国内出張旅費システムの利用対象者は？,国内出張旅費システムの利用対象者については、国内勤務の正社員・嘱託社員・出向受入社員・派遣社員（国内出向者含む）です。
18614,国内出張について、所属部署の初期設定は？,国内出張システムの所属部署の初期設定については、その時点での所属部署となります。異動、組織変更があった場合は自動的に変更されます。
18615,国内出張について、承認者の初期設定は？,国内出張システムの承認者の初期設定については、直属の上長となります。
18616,国内出張について、費用負担先の初期設定は？,国内出張システムの費用負担先の初期設定については、所属部署（グループ）となります。
18617,国内出張について、費用負担先の部署承認者は？,国内出張システムの費用負担先の部署承認者については、直属の上長が選択されています。
18618,国内出張について、承認者の変更の仕方は？,"国内出張システムの承認者変更については、承認者変更ボタンをクリックし⇒今回のみ変更もしくは次回以降も記録のどちらかを選択⇒該当の承認者を選択（L職以上の方）
※次回以降も記録にすると部署異動になっても自動で新上長へ変更にならない為、ご自身で再度正しい上長へ再度変更が必要となります。"
18619,国内出張について、申請内容に不備がるので内容変更したいが上長が不在の為差戻ししてもらえません。どうしたら良いですか？,"国内出張の差し戻しについては、国内出張旅費担当者へご連絡下さい。
担当者が「却下」するので、データの修正を行い、再申請して下さい。
その際に上長へ申請依頼メールが無効になっていることをご本人様からご連絡をお願いします。"
18620,"国内出張について、4月1日で承認者が異動しました。
3月分の内容で申請していますが、新承認者で大丈夫ですか？",国内出張の承認者異動による申請ついては、本来は申請内容遂行時に上長である方が「承認者」となるべきですが、新承認者でOKです。
18621,"国内出張について、申請後に海外へ赴任しました。
精算が完了する前に赴任した場合、精算の手続きはされますか？","国内出張について、承認者が海外転勤した場合は、赴任者の申請が終わっていれば承認されます。
"
18622,"国内出張について、申請後に海外へ赴任しました。
内容に不備があり、却下されたのですが国内出張システムにアクセス出来ません。どのように精算依頼したら良いですか？",国内出張システムについて、海外赴任者はアクセス権がありません。該当の領収書を赴任前の部署の方へ送り、代理で立替金精算書の作成をお願いして下さい。
18623,"国内出張について、海外赴任先に着任後、国内旅費の申請忘れを思い出しました。
国内出張システムに入れないのですが、どのように精算依頼したら良いですか？",国内出張システムについて、海外赴任者はアクセス権がありません。該当の領収書を赴任前の部署の方へ送り、代理で立替金精算書の作成をお願いして下さい。
18624,国内出張について、承認責任者です。申請者からの承認依頼メールを誤って削除してしまい、承認が出来ません。どうしたら良いでしょうか？,国内出張申請を誤って削除してしまった場合は、国内出張旅費システムの承認タブをクリックしてください。承認者の「未承認分」が表示されます。
18625,国内出張システムで自分が申請した履歴は過去どこまで確認できますか？,国内出張申請の履歴閲覧については、3ヶ月で「精算が完了したもの」「却下したもの」が画面から消えます。
18626,国内出張について、決算月の場合、いつまでのものが当月計上になりますか？,"国内出張の決算月（3,6,9,12月）は、翌月第２営業日17時までに上長承認を得られたものが、当月計上対象となります。それ以外の月は翌月第１営業日17時までとなります。"
18627,国内出張について、申請した旅費はいつ立替金口座へ振込まれますか？,国内出張旅費立替金の振込日については、国内出張旅費担当者が承認（就業時間内9：00～17：45）した日から２営業日後に振込まれます。
18628,"国内出張について、今月末で退職なのですが、上長が海外出張中の為「未承認」のままの申請があります。
このままにしておいても問題ありませんか？","退職日において国内出張システム上に未承認データが残っていても、申請者退職後でも「承認」は可能です。但し、内容不備で「却下」された場合、退職後に再度申請が出来ません。
申請内容に間違いがないようご注意ください。"
18629,"国内出張について、出張中に体調不良で帰宅しました。
この場合、日当は付きますか？","国内出張中に体調不良で帰宅した場合の日当は、支給されます。
（帰宅日までの日数分）移動した間、会社に拘束されていると考えられる為です。"
18630,国内出張について、研修の場合日当は付きますか？,"業務上必要な社外講習・実習のために国内出張する場合の日当は、支給されます。
会社主催の集合研修に参加するための出張の場合は日当支給はありません。"
18631,国内出張について、TTC社内の研修に、「講師」として出張する場合、日当は付きますか？,講師として、国内出張する場合の日当は、支給されます。
18632,"国内出張について、帰りが遅くなり、出張先で宿泊しました。
翌朝、始業前に戻りましたが、翌朝分の日当は付きますか？","国内出張時に業務上やむを得ず宿泊した場合の日当は、翌日分も日当支給されます。
"
18633,"国内の日帰り出張で、業務+懇親会で11時間以上になった場合の
日当はいくらですか？","国内出張時の懇親会については、業務上強制されない懇親会は私用扱いの為、その時間はカウントされません。その為、業務にかかる時間が11時間未満になる場合、日当は2,600円となります。"
18634,"国内出張について、翌日の打合せが早朝で始発だと間に合わない為、前泊しました。
この場合は移動のみの日でも日当は付きますか？",国内出張の日当については、業務上前泊が必要な場合は移動のみであっても日当は支給されます。
18635,国内出張について、日帰り日当の所要時間は自宅を出た時刻からの計算ではダメですか？,"国内出張の日帰り日当については、所要時間算出の出発又は帰任の時刻は「所属店最寄駅（主要幹線）出発又は到着」の時刻です。（東京は品川駅が基本）
但しご自宅から出張地へ直行する際、所属店最寄駅への移動が非効率な場合、主要幹線を「主要駅」と読みかえてもよく、新幹線、特急の発着駅（東京・上野・新宿・新横浜等）の発着時間も認められます。
なお、ご自宅最寄駅ではありませんのでご注意ください。"
18636,"国内出張について、訪問先A社からB社へ移動、商談後に会社へ戻りました。
会社⇒A社（75ｋｍ）　会社⇒B社（50ｋｍ）　A社⇒B社（105ｋｍ）
この場合100ｋｍ超での日帰り出張扱いになりますか？",国内出張の移動距離については、片道100ｋｍ以上の距離でなければ出張扱いにはならない為、この場合は「外出」となり日当は支給されません。
18637,国内出張について、接待ゴルフで前泊した場合、宿泊費・日当は付きますか？,"国内出張時の接待ゴルフの宿泊費および日当については、業務/出張とはみなしません。「交際費」での処理となります。
よって日当は支給されません。
接待ゴルフに関わる宿泊費・交通費は実費を「交際費」で精算下さい。"
18638,"国内出張について、1週間出張で同じ地にいました。
この場合は長期出張になりますか？","国内出張において、長期出張とは同じ地に1ヶ月以上滞在した場合となります。
1週間は通常の出張と同じ扱いになります。"
18639,国内出張について、1ヶ月以上同じ地での長期出張の場合、宿泊費と日当は通常の出張と異なりますか？,"国内出張における長期出張とは、同じ地に1ヶ月以上滞在した場合となります。
長期出張の場合、宿泊費は実費精算となります。（1日当たりの宿泊費は規定で定められた金額が上限です）
日当は通常の出張と同様に支給します。
但し単身赴任者が留守宅に長期出張する場合、日当は支給されません。"
18640,"国内出張について、100ｋｍに満たない地において、外部も招いた研修を行いました。
この場合、日当と宿泊費はどうなりますか？","国内出張について、規定により所属店最寄駅より100ｋ未満の場合、出張扱いにはならない為、宿泊が必要であっても日当は支給されません。
但し宿泊費は実費精算となります。"
18641,国内出張について、自己都合で前泊した場合の時間の起算は？,国内出張について、自己都合での前泊の場合、業務起算時間は宿泊日の翌日9：00からです。
18642,国内出張について、宿泊先が実家である場合の宿泊費はどうなりますか？,"国内出張の宿泊について、会社施設・友人、知人宅・実家での宿泊は宿泊費5,000円、
単身赴任者の留守宅（＝自宅）での宿泊は宿泊費の支給なしとなります。"
18643,"国内出張について、宿泊先ホテルの領収書を紛失してしまいました。
全額自己負担するしかないですか？","国内出張時の領収書紛失については、会社施設・友人、知人宅・実家での宿泊と同様に5,000円の支給となります。"
18644,"国内出張について、個人で宿泊先を手配しました。
今回旅行会社から会社宛に請求書が発行されます。
規定の金額より安いのですが差額分は請求可能ですか？",国内出張について、個人で宿泊先を手配して、旅行会社等から会社宛に請求書が発行された場合、会社が手配したものとみなされる為、規定の金額より請求額が安くても、差額請求は「不可」です。
18645,国内出張について、飛行機代＆宿泊費のパッケージツアーで出張し、自分で立替支払をしました。その際の金額が規定の宿泊費より安い場合、差額は請求可能ですか？,国内出張時にパッケージツアーで出張し、宿泊費を自分で立替支払をしたときは、実際の金額の方が安い場合、宿泊費は規定通りの金額で請求可能です。その際、領収書は必ず添付して下さい。
18646,国内出張について、品川から名古屋出張の翌日私用の為宿泊付きのパッケージツアーを手配しました。往復の交通費はどの様に精算したら良いですか？,"国内出張時にパッケージツアーで手配した場合の交通費（品川⇔名古屋）については、
■エクスプレス（EX-ICサービス）での金額＜パックツアー代金の場合
　⇒エクスプレスの金額
■エクスプレス（EX-ICサービス）での金額＞パックツアー代金の場合
　⇒パックツアー代金
上記でご精算下さい。"
18647,国内出張について、規定以下の宿泊費で泊まった場合、規定の金額で申請しても良いですか？,国内出張時に規定以下の宿泊費で泊まった場合は、規定通りの金額で宿泊費を申請して下さい。
18648,"国内出張について、同行するお客様と同じホテルに宿泊する必要があったのですが、宿泊費が規定の金額以上にかかりました。
規定との差額分は自己負担になりますか？","国内出張について、同行するお客様と同じホテルに宿泊する必要が生じ、宿泊費が規定の金額以上かかった場合には、業務上必要であったときのみ、上長の承認を得た上でSAP立替金精算を行ってください。（TWINS国内出張では精算不可です）
その際、摘要欄に規定を超えた理由を明記して下さい。"
18649,"国内出張について、宿泊の際、ネットカフェを利用しました。
どのように精算したら良いですか？","国内出張時に「ネットカフェ」を利用した場合は宿泊施設ではありません。
宿泊施設以外を利用した場合、規定の宿泊費を上限として実費精算となります。"
18650,国内出張について、出張となる程遠くない客先を訪問し、宿泊が必要となりホテルに泊まりました。宿泊費は通常の旅費規程と同じ金額で申請して良いですか？,国内出張について、規定により所属店最寄駅より100ｋ未満の場合、出張扱いにはならない為、規定の宿泊費を上限として実費精算となります。
18651,"国内出張について、残業で遅くなった為、会社近くのホテルに宿泊しました。
宿泊費の精算は旅費規定と同じ金額で申請して良いですか？","国内出張の際、残業になり会社近くのホテルに宿泊した場合は、旅費規程にはあてはまりませんので、まずは上長へご相談下さい。
上長の了解を得た場合でも「出張」ではない為、規定の宿泊費を上限として実費精算となります。その際はSAP立替金精算で行ってください。
なお、勘定科目は9162国内出張旅費となります。"
18652,"国内出張について、パワーアップミーティング（PUM）のため東京から名古屋へ行きました。
日当と交通費の申請は出来ますか？","国内出張でパワーアップミーティング（PUM）の場合「日当」は付きません。
日当無しで交通費のみ精算してください。
その際備考欄に「PUM」と明記願います。"
18653,国内出張について、告別式に参列する場合、交通費・日当の申請は出来ますか？,"告別式の参列については、業務命令によるものかを上長が判断し、対応して下さい。
私的個人の葬儀に参列する為の交通費は精算不可です。"
18654,国内出張について、東京本社から知人宅までの往復交通費は精算出来ますか？,国内出張について、業務以外の私的なものについては精算不可です。
18655,国内出張について、成田出発のフライトで出張に行く際、前泊が必要だった為、埼玉の実家へ泊まりました。この場合の精算はどのようにしたら良いですか？,"国内出張で実家に前泊した場合の交通費は、所属店最寄駅から空港への直路で精算して下さい。
（寄り道に関しては精算不可です）
宿泊費は実家泊であれば規定通りの金額で申請して下さい。"
18656,"国内出張について、行きは名古屋⇒東京へ出張、帰りは私用で東京⇒大阪に移動しました。
どのように精算申請したら良いですか？",国内出張で、例えば行きは名古屋⇒東京へ出張、帰りは私用で東京⇒大阪に移動した場合、実際にご利用になった分の領収書添付し、精算は名古屋・東京往復分のみ（大阪分は申請できない）で申請して下さい。領収書台紙の余白に東京・名古屋間のみ精算と記入をお願いします。
18657,国内出張について、帰りの新幹線をエクスプレス予約していたのに、お客様との会食が長引き乗車出来まんでした。二重で請求が来るのですが、精算するための添付書類は何が必要ですか？,"国内出張の精算について帰りの新幹線の請求を2回分することは出来ません。
上長へ相談した上でご申請下さい。"
18658,"国内出張について、エクスプレス予約で同じグループ2人分の新幹線を予約しました。
精算の仕方はどうしたら良いですか？",国内出張精算において、2名分（自分以外）を精算する場合で負担先部署が全て同一であれば、WEB申請時の備考欄に「○○さんと2人分」と明記して頂ければ通常の申請でOKです。
18659,"国内出張について、エクスプレス予約で同じグループ2人分の新幹線を予約しました。
負担先部署コードが違うのですが、精算はどうしたら良いですか？",国内出張旅費システムは、旅費を部署コードごとに按分することは出来ません。SAPで立替金精算をお願いします。1枚の依頼書で複数の負担先に分けて入力することが可能です。
18660,"国内出張について、SUICA,MANACA等のICカードチャージ分の精算も可能ですか？",国内出張におけるSUICA、MANACA等のICカードチャージ分の精算について、交通費は実費払いの為、チャージ分は精算不可です。
18661,"国内出張について、部内研修の為にバスをチャーターしました。
勘定科目は何にしたら良いですか？",国内出張におけるバスのチャーターについては、レンタカー代と同様に、勘定科目は9169旅費交通費雑口です。
18662,国内出張について、台風で通常の交通機関で帰ることが出来なかったため、他の交通機関を利用して、宿泊もしました。交通費・宿泊費は精算出来ますか？,国内出張中において、災害、疾病その他やむを得ない事情により所定の旅費で支弁できなかった費用で所属長の認可を得たものについては、実費を支給します。但し、請求の際は、原則として領収書の添付が必要です。（国内旅費規程第4条）
18663,"国内出張について、台風で出張先から帰ることが出来なくなったため、宿泊しました。
この分は精算出来ますか？",国内出張中において、災害、疾病その他やむを得ない事情により所定の旅費で支弁できなかった費用で所属長の認可を得たものについては、実費を支給します。但し、請求の際は、原則として領収書の添付が必要です。（国内旅費規程第4条）
18664,国内出張について、外出時のJR在来線・私鉄・地下鉄代金の申請だけで、領収書台紙に添付する「領収書」が1枚もありません。このような場合でも領収書台紙の提出は必要ですか？,国内出張において1回の申請書の内容がJR在来線・私鉄・地下鉄などの割引等が無い「近距離定額切符」の場合は領収書台紙の提出は不要です。
18665,"国内出張について、他部署案件で出張しました。
費用負担先が他部署の場合、領収書台紙に捺印頂く「上長」は、所属長or負担先部署長のどちらになりますか？",国内出張において、他部署で費用負担する場合の上長承認先については、負担先の部署長印を取り付け、提出も負担先部署からとしてください。
